big,bigger
general,generic
entry,enter
tail,tailor
supply,supplier
create,creator
curse,cursor
include,inclusive
contract,contractor
heat,heater
separate,separator
family,familiar
early,earlier
for,refer
heart,rather
drive,driver
direct,director
collect,collector
profess,professor
inspect,inspector
autonomy,autonomous
manage,manager
mount,mountain
relation,relationship
far,further
agree,agreement
freeze,freezer
function,functional
invite,invitation
react,reaction
generate,generation
sun,sunny
impress,impressive
person,personal
compose,composer
easy,easier
intent,intention
mole,molecule
great,greater
neighbor,neighborhood
use,user
feel,feeler
careful,carefully
serve,server
strange,stranger
demonstrate,demonstration
available,availability
modify,modifier
part,appear
punctuate,punctuation
prince,principle
*==t,ter
*in,inner
*=t,tter
*e,er
*,er
